,,Sensitivity,,Specificity
10550,3.585,0.97,4.518,0.99
10551,3.928,0.98,0.4294,0.61
10552,4.265,0.99,2.838,0.94
10553,4.265,0.99,2.838,0.94
10554,4.265,0.99,2.838,0.94
10555,4.265,0.99,2.838,0.94
10556,4.265,0.99,2.838,0.94
10557,4.265,0.99,2.838,0.94
10558,3.073,0.96,4.461,0.99
10559,3.073,0.96,4.461,0.99
10560,3.08,0.96,3.977,0.98
10561,3.449,0.97,8.933,1.00
10562,2.917,0.95,5.302,1.00
10563,2.917,0.95,5.302,1.00
10564,2.917,0.95,5.302,1.00
10565,2.917,0.95,5.302,1.00
10566,2.917,0.95,5.302,1.00
10567,2.917,0.95,5.302,1.00
10568,2.917,0.95,5.302,1.00
10569,2.917,0.95,5.302,1.00
10570,2.917,0.95,5.302,1.00
10571,3.314,0.96,4.633,0.99
10572,3.314,0.96,4.633,0.99
10573,3.314,0.96,4.633,0.99
10574,3.314,0.96,4.633,0.99
10575,3.314,0.96,4.633,0.99
10576,4.391,0.99,5.044,0.99
10577,4.391,0.99,5.044,0.99
10578,4.391,0.99,5.044,0.99
10579,4.391,0.99,5.044,0.99
10580,4.391,0.99,5.044,0.99
10581,3.551,0.97,-0.5841,0.36
10582,3.25,0.96,4.36,0.99
10583,3.25,0.96,4.36,0.99
10584,3.25,0.96,4.36,0.99
10585,3.25,0.96,4.36,0.99
10586,3.25,0.96,4.36,0.99
10587,3.25,0.96,4.36,0.99
10588,3.25,0.96,4.36,0.99
10589,3.25,0.96,4.36,0.99
10590,3.25,0.96,4.36,0.99
10591,2.691,0.94,4.563,0.99
10592,2.691,0.94,4.563,0.99
10593,2.691,0.94,4.563,0.99
10594,2.691,0.94,4.563,0.99
10595,2.691,0.94,4.563,0.99
10596,2.691,0.94,4.563,0.99
10597,2.691,0.94,4.563,0.99
10598,2.691,0.94,4.563,0.99
10599,2.691,0.94,4.563,0.99
10600,3.218,0.96,4.264,0.99
10601,3.041,0.95,2.828,0.94
10602,3.041,0.95,2.828,0.94
10603,3.041,0.95,2.828,0.94
10604,3.041,0.95,2.828,0.94
10605,3.041,0.95,2.828,0.94
10606,3.041,0.95,2.828,0.94
10607,3.041,0.95,2.828,0.94
10608,3.041,0.95,2.828,0.94
10609,3.041,0.95,2.828,0.94
10610,3.041,0.95,2.828,0.94
10611,4.206,0.99,-12.11,0.00
10612,5.102,0.99,-8.943,0.00
10613,1.15,0.76,2.048,0.89
10614,1.15,0.76,2.048,0.89
10615,1.15,0.76,2.048,0.89
10616,1.15,0.76,2.048,0.89
10617,1.15,0.76,2.048,0.89
10618,1.15,0.76,2.048,0.89
10619,1.15,0.76,2.048,0.89
10620,1.15,0.76,2.048,0.89
10621,4.312,0.99,-12.76,0.00
10622,3.032,0.95,-3.475,0.03
10623,3.032,0.95,-3.475,0.03
10624,4.076,0.98,-1.237,0.22
10625,2.972,0.95,8.544,1.00
10626,2.972,0.95,8.544,1.00
10627,2.972,0.95,8.544,1.00
10628,2.972,0.95,8.544,1.00
10629,2.972,0.95,8.544,1.00
10630,2.972,0.95,8.544,1.00
10631,3.402,0.97,-8.252,0.00
10632,2.844,0.95,-5.58,0.00
10633,2.556,0.93,0.0631,0.52
10634,2.556,0.93,0.0631,0.52
10635,2.556,0.93,0.0631,0.52
10636,2.556,0.93,0.0631,0.52
10637,2.472,0.92,7.356,1.00
10638,2.472,0.92,7.356,1.00
10639,2.472,0.92,7.356,1.00
10640,2.472,0.92,7.356,1.00
10641,3.565,0.97,5.13,0.99
10642,3.565,0.97,5.13,0.99
10643,3.565,0.97,5.13,0.99
10644,3.565,0.97,5.13,0.99
10645,3.565,0.97,5.13,0.99
10646,3.565,0.97,5.13,0.99
10647,3.565,0.97,5.13,0.99
10648,3.565,0.97,5.13,0.99
10649,3.565,0.97,5.13,0.99
10650,3.638,0.97,2.502,0.92
10651,3.757,0.98,-9.227,0.00
10652,3.757,0.98,-9.227,0.00
10653,3.757,0.98,-9.227,0.00
10654,3.767,0.98,5.663,1.00
10655,3.767,0.98,5.663,1.00
10656,3.767,0.98,5.663,1.00
10657,3.767,0.98,5.663,1.00
10658,3.767,0.98,5.663,1.00
10659,3.194,0.96,3.251,0.96
10660,3.194,0.96,3.251,0.96
10661,3.949,0.98,-8.772,0.00
10662,3.949,0.98,-8.772,0.00
10663,2.921,0.95,-6.292,0.00
10664,2.921,0.95,-6.292,0.00
10665,3.53,0.97,-4.375,0.01
10666,2.788,0.94,3.944,0.98
10667,2.788,0.94,3.944,0.98
10668,2.788,0.94,3.944,0.98
10669,2.788,0.94,3.944,0.98
10670,2.788,0.94,3.944,0.98
10671,4.105,0.98,-24.78,0.00
10672,1.591,0.83,-3.48,0.03
10673,1.591,0.83,-3.48,0.03
10674,2.312,0.91,5.471,1.00
10675,2.312,0.91,5.471,1.00
10676,2.312,0.91,5.471,1.00
10677,2.312,0.91,5.471,1.00
10678,2.312,0.91,5.471,1.00
10679,2.312,0.91,5.471,1.00
10680,3.502,0.97,3.712,0.98
10681,4.517,0.99,-5.777,0.00
10682,1.426,0.81,1.456,0.81
10683,1.985,0.88,7.784,1.00
10684,2.984,0.95,4.681,0.99
10685,2.984,0.95,4.681,0.99
10686,2.984,0.95,4.681,0.99
10687,2.984,0.95,4.681,0.99
10688,2.984,0.95,4.681,0.99
10689,2.619,0.93,4.12,0.98
10690,2.619,0.93,4.12,0.98
10691,3.374,0.97,-16.55,0.00
10692,3.272,0.96,1.654,0.84
10693,3.272,0.96,1.654,0.84
10694,3.272,0.96,1.654,0.84
10695,3.838,0.98,6.96,1.00
10696,3.838,0.98,6.96,1.00
10697,3.838,0.98,6.96,1.00
10698,3.838,0.98,6.96,1.00
10699,3.838,0.98,6.96,1.00
10700,3.838,0.98,6.96,1.00
10701,3.292,0.96,4.62,0.99
10702,3.292,0.96,4.62,0.99
10703,3.292,0.96,4.62,0.99
10704,3.292,0.96,4.62,0.99
10705,3.292,0.96,4.62,0.99
10706,3.292,0.96,4.62,0.99
10707,3.292,0.96,4.62,0.99
10708,3.292,0.96,4.62,0.99
10709,3.292,0.96,4.62,0.99
10710,3.292,0.96,4.62,0.99
10711,4.926,0.99,12.97,1.00
10712,4.926,0.99,12.97,1.00
10713,4.926,0.99,12.97,1.00
10714,4.926,0.99,12.97,1.00
10715,4.926,0.99,12.97,1.00
10716,4.926,0.99,12.97,1.00
10717,4.926,0.99,12.97,1.00
10718,4.358,0.99,9.243,1.00
10719,4.358,0.99,9.243,1.00
10720,4.358,0.99,9.243,1.00
10721,3.422,0.97,-3.522,0.03
10722,2.931,0.95,-2.147,0.10
